id,quote
1,I'm the new Moses
2,I hear people say this person is cool and this person is not cool. People are cool. Man has never invented anything as awesome as a an actual person but sometimes we value the objects we create over life itself
3,I really love my Tesla. I'm in the future. Thank you Elon.
4,Decentralize
5,I love UZI. I be saying the same thing about Steve Jobs. I be feeling just like UZI
6,"Keep your nose out the sky, keep your heart to god, and keep your face to the rising sun."
7,People always tell you 'Be humble. Be humble.' When was the last time someone told you to be amazing? Be great! Be awesome! Be awesome!
8,We will cure hunger
9,"I'm on the pursuit of awesomeness, excellence is the bare minimum."
10,All the musicians will be free
