id,quote
1,For me giving up is way harder than trying.
2,I wish I had a friend like me
3,We all self-conscious. I'm just the first to admit it.
4,I hear people say this person is cool and this person is not cool. People are cool. Man has never invented anything as awesome as a an actual person but sometimes we value the objects we create over life itself
5,We've gotten comfortable with not having what we deserve
6,I'm the new Moses
7,"I'm on the pursuit of awesomeness, excellence is the bare minimum."
8,I really love my Tesla. I'm in the future. Thank you Elon.
9,I care. I care about everything. Sometimes not giving a f#%k is caring the most.
10,I give up drinking every week
