Место,ID,Тип экзамена,Балл экзамена,ИД,Сумма баллов,Средний балл,Приоритет,Согласие,Статус <?>,Главный приоритет,Наивысший приоритет прохода
1,4818781,ЗИШ,100,5,105,4.9091,1,-,recommended,+,-
2,4589143,КП,100,3,103,4.8611,2,+,in_another_order,-,-
3,3740228,КД,100,2,102,4.8000,2,+,in_another_order,-,-
4,4372552,ЗИШ,100,2,102,4.1957,2,+,in_another_order,-,-
5,4595289,ЗИШ,100,1,101,4.8611,1,+,in_order,+,+
6,4819256,ЗИШ,100,1,101,3.9062,1,+,in_order,+,+
7,4929046,ЗИШ,100,1,101,3.7188,1,+,in_order,+,+
8,5002762,МегаОлимпиада ИТМО,100,0,100,4.5294,1,+,in_order,+,+
9,4929045,МегаОлимпиада ИТМО,100,0,100,4.4118,1,+,in_order,+,+
10,4804172,КД,100,0,100,4.7750,1,-,recommended,+,-
11,4981178,КД,100,0,100,4.4118,4,+,in_another_order,-,-
12,3679543,Мегашкола,100,0,100,4.5238,1,+,in_order,+,+
13,4981176,Мегашкола,100,0,100,4.4839,2,+,in_another_order,-,-
14,3697867,Мегашкола,100,0,100,4.3333,5,+,in_another_order,-,-
15,4549290,Мегашкола,100,0,100,4.2419,2,+,in_another_order,-,-
16,5179945,Мегашкола,100,0,100,4.0781,5,+,in_another_order,-,-
17,4147790,КП,100,0,100,5.0000,3,-,pass_another,-,-
18,5002822,КП,100,0,100,4.6481,5,+,in_another_order,-,-
19,5000536,КП,100,0,100,4.5741,5,+,in_another_order,-,-
20,3623875,КП,100,0,100,4.4182,1,+,in_order,+,+
21,4548718,КП,100,0,100,4.3438,3,+,in_another_order,-,-
22,4497369,КП,100,0,100,4.2000,2,+,in_another_order,-,-
23,4885045,КП,100,0,100,4.0984,1,+,in_order,+,+
24,4254508,ЗИШ,100,0,100,4.9394,4,+,in_another_order,-,-
25,3676205,ЗИШ,100,0,100,4.9020,2,+,in_another_order,-,-
26,5048097,ЗИШ,100,0,100,4.8824,4,+,in_another_order,-,-
27,4068766,ЗИШ,100,0,100,4.8730,5,+,in_another_order,-,-
28,4856605,ЗИШ,100,0,100,4.8485,1,-,recommended,+,-
29,4723058,ЗИШ,100,0,100,4.7941,5,+,in_another_order,-,-
30,5065465,ЗИШ,100,0,100,4.7632,4,+,in_another_order,-,-
31,4347044,ЗИШ,100,0,100,4.7143,3,+,in_another_order,-,-
32,4999958,ЗИШ,100,0,100,4.7059,4,+,in_another_order,-,-
33,4589946,ЗИШ,100,0,100,4.6731,1,+,in_order,+,+
34,4804760,ЗИШ,100,0,100,4.6053,3,+,in_another_order,-,-
35,4949657,ЗИШ,100,0,100,4.5455,1,+,in_order,+,+
36,3713170,ЗИШ,100,0,100,4.5200,2,+,in_another_order,-,-
37,4886282,ЗИШ,100,0,100,4.5185,1,+,in_order,+,+
38,4938814,ЗИШ,100,0,100,4.4839,1,+,in_order,+,+
39,4432942,ЗИШ,100,0,100,4.4127,4,+,in_another_order,-,-
40,4910446,ЗИШ,100,0,100,4.3684,2,+,in_another_order,-,-
41,4799964,ЗИШ,100,0,100,4.3636,2,+,in_another_order,-,-
42,3822794,ЗИШ,100,0,100,4.3226,5,+,in_another_order,-,-
43,4944771,ЗИШ,100,0,100,4.2778,2,+,in_another_order,-,-
44,3925317,ЗИШ,100,0,100,4.2593,3,+,in_another_order,-,-
45,4708058,ЗИШ,100,0,100,4.2222,5,+,in_another_order,-,-
46,3623412,ЗИШ,100,0,100,4.2174,2,+,in_another_order,-,-
47,5048103,ЗИШ,100,0,100,4.2115,5,+,in_another_order,-,-
48,4310890,ЗИШ,100,0,100,4.2063,4,+,in_another_order,-,-
