Место,ID,Тип экзамена,Балл экзамена,ИД,Сумма баллов,Средний балл,Приоритет,Согласие,Статус <?>,Главный приоритет,Наивысший приоритет прохода
1,4818781,ЗИШ,100.0,5,105.0,4.9091,3,-,pass_another,-,-
2,5016256,КП,100.0,3,103.0,4.3696,2,-,pass_another,-,-
3,4372552,ЗИШ,100.0,2,102.0,4.1957,3,+,in_another_order,-,-
4,4819256,ЗИШ,100.0,1,101.0,3.9062,3,+,in_another_order,-,-
5,4848237,КД,100.0,0,100.0,4.5882,1,+,in_order,+,+
6,4981178,КД,100.0,0,100.0,4.4118,2,+,in_another_order,-,-
7,5080638,КП,100.0,0,100.0,4.8889,1,+,in_order,+,+
8,4772204,КП,100.0,0,100.0,4.8286,5,-,pass_another,-,-
9,4705361,КП,100.0,0,100.0,4.5152,1,+,in_order,+,+
10,4833232,КП,100.0,0,100.0,4.0882,1,+,in_order,+,+
11,4698542,ЗИШ,100.0,0,100.0,4.9688,1,+,in_order,+,+
12,4332459,ЗИШ,100.0,0,100.0,4.9118,4,+,in_another_order,-,-
13,3676205,ЗИШ,100.0,0,100.0,4.9020,4,+,in_another_order,-,-
14,5090761,ЗИШ,100.0,0,100.0,4.8333,1,-,recommended,+,-
15,5065465,ЗИШ,100.0,0,100.0,4.7632,3,+,in_another_order,-,-
16,4804760,ЗИШ,100.0,0,100.0,4.6053,5,+,in_another_order,-,-
17,4088995,ЗИШ,100.0,0,100.0,4.5397,5,+,in_another_order,-,-
18,4494182,ЗИШ,100.0,0,100.0,4.5312,2,+,in_another_order,-,-
19,3713170,ЗИШ,100.0,0,100.0,4.5200,4,+,in_another_order,-,-
20,4799968,ЗИШ,100.0,0,100.0,4.5000,2,+,in_another_order,-,-
21,5094989,ЗИШ,100.0,0,100.0,4.3889,1,-,recommended,+,-
22,5066626,ЗИШ,100.0,0,100.0,4.3750,1,+,in_order,+,+
23,5003213,ЗИШ,100.0,0,100.0,4.3333,2,+,in_another_order,-,-
24,3708583,ЗИШ,100.0,0,100.0,4.2982,5,+,in_another_order,-,-
25,4944771,ЗИШ,100.0,0,100.0,4.2778,3,+,in_another_order,-,-
26,3925317,ЗИШ,100.0,0,100.0,4.2593,2,+,in_another_order,-,-
27,4833237,ЗИШ,100.0,0,100.0,4.2432,5,+,in_another_order,-,-
28,4929281,ЗИШ,100.0,0,100.0,4.2188,1,+,in_order,+,+
29,3623412,ЗИШ,100.0,0,100.0,4.2174,1,+,in_order,+,+
30,5048103,ЗИШ,100.0,0,100.0,4.2115,1,+,in_order,+,+
31,5134343,ЗИШ,100.0,0,100.0,4.1944,1,+,in_order,+,+
32,3713173,ЗИШ,100.0,0,100.0,4.1176,3,+,in_another_order,-,-
33,4854428,ЗИШ,100.0,0,100.0,4.0741,4,+,in_another_order,-,-
34,4468015,ЗИШ,100.0,0,100.0,4.0476,2,+,in_another_order,-,-
35,4907683,ЗИШ,100.0,0,100.0,4.0000,1,-,recommended,+,-
36,4394926,ЗИШ,100.0,0,100.0,4.0000,1,+,in_order,+,+
37,5012087,ЗИШ,100.0,0,100.0,3.9180,3,+,in_another_order,-,-
38,5093295,ЗИШ,100.0,0,100.0,3.9091,2,+,in_another_order,-,-
39,4393414,ЗИШ,100.0,0,100.0,3.8500,2,+,in_another_order,-,-
40,4997242,ЗИШ,100.0,0,100.0,3.8182,3,+,in_another_order,-,-
41,4909511,ЗИШ,100.0,0,100.0,3.7292,2,+,in_another_order,-,-
42,4223783,ЗИШ,100.0,0,100.0,3.7213,4,+,in_another_order,-,-
43,4218362,ЗИШ,100.0,0,100.0,3.6885,2,+,in_another_order,-,-
44,3991838,Включи свет,100.0,0,100.0,4.9318,1,+,in_order,-,+
45,4914840,ВЭ,100.0,0,100.0,4.9231,1,+,,-,-
46,4799973,ВЭ,100.0,0,100.0,4.8511,1,+,,-,-
47,4360086,ВЭ,100.0,0,100.0,4.4681,2,+,in_another_order,-,-
48,4619953,ВЭ,100.0,0,100.0,4.4603,2,-,,-,-
49,4486403,ВЭ,90.0,0,90.0,3.9623,1,+,,-,-
50,5079627,ВЭ,87.5,0,87.5,3.7027,2,+,in_another_order,-,-
51,5053142,ВЭ,80.0,0,80.0,5.0000,2,-,,-,-
52,4703865,ВЭ,75.0,0,75.0,4.2683,4,+,in_another_order,-,-
53,4723060,ВЭ,70.0,0,70.0,4.2593,1,-,,-,-
54,3935250,ПИГА,70.0,0,70.0,4.8511,4,+,in_another_order,-,-
55,4644536,ПИГА,70.0,0,70.0,4.4884,2,+,in_another_order,-,-
56,4252211,ПИГА,70.0,0,70.0,4.3243,2,+,in_another_order,-,-
57,5179942,ВЭ,62.5,0,62.5,3.6000,1,+,,-,-
58,4296495,ВЭ,55.0,0,55.0,3.8611,2,-,,-,-
