Место,ID,Тип экзамена,Балл экзамена,ИД,Сумма баллов,Средний балл,Приоритет,Согласие,Статус <?>,Главный приоритет,Наивысший приоритет прохода
1,4818781,ЗИШ,100.0,5,105.0,4.9091,2,-,pass_another,-,-
2,4372552,ЗИШ,100.0,2,102.0,4.1957,1,+,in_order,+,+
3,4819256,ЗИШ,100.0,1,101.0,3.9062,2,+,in_another_order,-,-
4,4083779,МегаОлимпиада ИТМО,100.0,0,100.0,4.2432,3,+,in_another_order,-,-
5,4981178,КД,100.0,0,100.0,4.4118,3,+,in_another_order,-,-
6,3679543,Мегашкола,100.0,0,100.0,4.5238,3,+,in_another_order,-,-
7,3676205,ЗИШ,100.0,0,100.0,4.9020,1,+,in_order,+,+
8,4068766,ЗИШ,100.0,0,100.0,4.8730,4,+,in_another_order,-,-
9,5090761,ЗИШ,100.0,0,100.0,4.8333,2,-,pass_another,-,-
10,5065465,ЗИШ,100.0,0,100.0,4.7632,2,+,in_another_order,-,-
11,4347044,ЗИШ,100.0,0,100.0,4.7143,4,+,in_another_order,-,-
12,4589946,ЗИШ,100.0,0,100.0,4.6731,2,+,in_another_order,-,-
13,4804760,ЗИШ,100.0,0,100.0,4.6053,4,+,in_another_order,-,-
14,4848237,ЗИШ,100.0,0,100.0,4.5882,2,+,in_another_order,-,-
15,4494182,ЗИШ,100.0,0,100.0,4.5312,1,+,in_order,+,+
16,5052695,ЗИШ,100.0,0,100.0,4.5263,1,+,in_order,+,+
17,3713170,ЗИШ,100.0,0,100.0,4.5200,1,+,in_order,+,+
18,4886282,ЗИШ,100.0,0,100.0,4.5185,2,+,in_another_order,-,-
19,4799968,ЗИШ,100.0,0,100.0,4.5000,3,+,in_another_order,-,-
20,4938814,ЗИШ,100.0,0,100.0,4.4839,2,+,in_another_order,-,-
21,4432942,ЗИШ,100.0,0,100.0,4.4127,5,+,in_another_order,-,-
22,4910446,ЗИШ,100.0,0,100.0,4.3684,3,+,in_another_order,-,-
23,4799964,ЗИШ,100.0,0,100.0,4.3636,1,+,in_order,+,+
24,3822794,ЗИШ,100.0,0,100.0,4.3226,4,+,in_another_order,-,-
25,3708583,ЗИШ,100.0,0,100.0,4.2982,4,+,in_another_order,-,-
26,4944771,ЗИШ,100.0,0,100.0,4.2778,1,+,in_order,+,+
27,3925317,ЗИШ,100.0,0,100.0,4.2593,1,+,in_order,+,+
28,4929281,ЗИШ,100.0,0,100.0,4.2188,2,+,in_another_order,-,-
29,3623412,ЗИШ,100.0,0,100.0,4.2174,3,+,in_another_order,-,-
30,5048103,ЗИШ,100.0,0,100.0,4.2115,4,+,in_another_order,-,-
31,5024737,ЗИШ,100.0,0,100.0,4.1346,5,+,in_another_order,-,-
32,4854428,ЗИШ,100.0,0,100.0,4.0741,1,+,in_order,+,+
33,4468015,ЗИШ,100.0,0,100.0,4.0476,1,+,in_order,+,+
34,4907683,ЗИШ,100.0,0,100.0,4.0000,2,-,pass_another,-,-
35,4998954,ЗИШ,100.0,0,100.0,3.9839,1,-,recommended,+,-
36,4282203,ЗИШ,100.0,0,100.0,3.9667,6,-,pass_another,-,-
37,5012087,ЗИШ,100.0,0,100.0,3.9180,1,+,in_order,+,+
38,5030360,ЗИШ,100.0,0,100.0,3.8958,2,+,in_order,+,+
39,4393414,ЗИШ,100.0,0,100.0,3.8500,4,+,in_another_order,-,-
40,4338591,ЗИШ,100.0,0,100.0,3.7547,2,+,in_another_order,+,-
41,4909511,ЗИШ,100.0,0,100.0,3.7292,1,+,in_order,+,+
42,4223783,ЗИШ,100.0,0,100.0,3.7213,1,+,in_order,+,+
43,4218362,ЗИШ,100.0,0,100.0,3.6885,1,+,in_order,-,+
44,5036352,ЗИШ,100.0,0,100.0,3.6471,1,+,in_order,-,+
45,5112980,ЗИШ,100.0,0,100.0,3.5660,1,+,,-,-
46,4203198,ЗИШ,100.0,0,100.0,3.2286,4,+,in_another_order,-,-
47,4799973,ВЭ,100.0,0,100.0,4.8511,2,+,,-,-
48,4538619,ВЭ,100.0,0,100.0,4.6667,3,-,,-,-
49,4740632,ВЭ,100.0,0,100.0,4.3667,2,-,,-,-
50,4703865,ВЭ,80.0,0,80.0,4.2683,1,+,,-,-
51,4913208,ВЭ,80.0,0,80.0,4.1270,3,-,,-,-
52,4987091,ВЭ,70.0,0,70.0,3.7586,1,-,,-,-
53,4850088,ПИГА,70.0,0,70.0,4.3077,3,+,in_another_order,-,-
54,4214515,ПИГА,67.5,0,67.5,4.5581,5,+,in_another_order,-,-
