Место,ID,Тип экзамена,Балл экзамена,ИД,Сумма баллов,Средний балл,Приоритет,Согласие,Статус <?>,Главный приоритет,Наивысший приоритет прохода
2,5184464,КП,100,1,101,4.9714,2,+,in_another_order,-,-
3,4819256,ЗИШ,100,1,101,3.9062,5,+,in_another_order,-,-
1,4953905,Призер ЯП,100,1,101,4.8382,2,+,in_another_order,-,-
5,4362539,МегаОлимпиада ИТМО,100,0,100,4.9118,3,+,in_another_order,-,-
6,3619789,МегаОлимпиада ИТМО,100,0,100,4.5000,2,+,in_another_order,-,-
7,4881660,Мегашкола,100,0,100,4.7679,3,+,in_another_order,-,-
8,3687088,Мегашкола,100,0,100,4.6984,2,-,pass_another,-,-
9,4849739,Мегашкола,100,0,100,4.6923,2,+,in_another_order,-,-
10,4062909,Мегашкола,100,0,100,4.4603,2,+,in_another_order,-,-
11,4953204,Мегашкола,100,0,100,4.3684,2,+,in_order,+,+
12,5179945,Мегашкола,100,0,100,4.0781,3,+,in_another_order,-,-
13,3831338,КП,100,0,100,4.8413,4,+,in_another_order,-,-
14,4980953,КП,100,0,100,4.6250,3,+,in_another_order,-,-
15,5084638,КП,100,0,100,4.5147,2,+,in_another_order,-,-
16,4999944,КП,100,0,100,4.5079,4,+,in_another_order,-,-
17,4544591,КП,100,0,100,4.4603,2,+,in_another_order,-,-
18,5072755,КП,100,0,100,4.4444,2,+,in_another_order,-,-
19,5083478,КП,100,0,100,4.4098,5,+,in_another_order,-,-
20,4701496,КП,100,0,100,4.2540,2,+,in_another_order,-,-
21,3899879,КП,100,0,100,4.1750,2,+,in_another_order,-,-
22,5166824,КП,100,0,100,3.5526,1,+,in_order,+,+
23,4254508,ЗИШ,100,0,100,4.9394,2,+,in_another_order,-,-
24,4332459,ЗИШ,100,0,100,4.9118,3,+,in_another_order,-,-
25,5048097,ЗИШ,100,0,100,4.8824,3,+,in_another_order,-,-
26,4068766,ЗИШ,100,0,100,4.8730,3,+,in_another_order,-,-
27,4723058,ЗИШ,100,0,100,4.7941,2,+,in_another_order,-,-
28,4999958,ЗИШ,100,0,100,4.7059,2,+,in_another_order,-,-
29,5007299,ЗИШ,100,0,100,4.6562,2,-,recommended,+,-
30,4949675,ЗИШ,100,0,100,4.6286,4,+,in_another_order,-,-
31,4088995,ЗИШ,100,0,100,4.5397,3,+,in_another_order,-,-
32,4799968,ЗИШ,100,0,100,4.5000,4,+,in_another_order,-,-
33,4441261,ЗИШ,100,0,100,4.4627,3,-,pass_another,-,-
34,5038342,ЗИШ,100,0,100,4.4545,1,+,in_order,+,+
35,3932463,ЗИШ,100,0,100,4.4444,2,+,in_another_order,-,-
36,4432942,ЗИШ,100,0,100,4.4127,3,+,in_another_order,-,-
37,3648061,ЗИШ,100,0,100,4.3971,3,-,recommended,+,-
38,4799972,ЗИШ,100,0,100,4.3750,3,+,in_another_order,-,-
39,4372553,ЗИШ,100,0,100,4.3571,4,+,in_another_order,-,-
40,3822794,ЗИШ,100,0,100,4.3226,3,+,in_another_order,-,-
41,3673031,ЗИШ,100,0,100,4.3043,3,+,in_another_order,-,-
42,3708583,ЗИШ,100,0,100,4.2982,2,+,in_another_order,-,-
43,4338592,ЗИШ,100,0,100,4.2778,2,+,in_another_order,-,-
44,3916761,ЗИШ,100,0,100,4.2576,2,+,in_another_order,-,-
45,4833237,ЗИШ,100,0,100,4.2432,3,+,in_another_order,-,-
46,4929281,ЗИШ,100,0,100,4.2188,3,+,in_another_order,-,-
47,3623412,ЗИШ,100,0,100,4.2174,5,+,in_another_order,-,-
48,4310890,ЗИШ,100,0,100,4.2063,3,+,in_another_order,-,-
49,4395093,ЗИШ,100,0,100,4.1613,3,+,in_another_order,-,-
50,3694475,ЗИШ,100,0,100,4.1463,1,+,in_order,+,+
51,5024737,ЗИШ,100,0,100,4.1346,1,+,in_order,+,+
52,4979888,ЗИШ,100,0,100,4.0000,1,+,in_order,+,+
53,4282203,ЗИШ,100,0,100,3.9667,3,-,recommended,+,-
54,4255979,ЗИШ,100,0,100,3.9180,1,+,in_order,+,+
55,5093295,ЗИШ,100,0,100,3.9091,4,+,in_another_order,-,-
56,4393414,ЗИШ,100,0,100,3.8500,5,+,in_another_order,-,-
57,5092691,ЗИШ,100,0,100,3.8281,2,+,in_order,-,+
58,3820032,ЗИШ,100,0,100,3.8065,3,+,in_another_order,-,-
59,4203198,ЗИШ,100,0,100,3.2286,2,+,in_another_order,-,-
60,4347355,ВЭ,100,0,100,4.7188,1,-,,-,-
61,4215885,ВЭ,100,0,100,4.6032,2,+,in_another_order,-,-
62,5036930,ВЭ,100,0,100,4.5738,2,+,in_another_order,-,-
63,4632403,ВЭ,100,0,100,4.5000,2,+,in_another_order,-,-
64,3722599,ВЭ,100,0,100,4.3651,2,-,,-,-
65,5045859,ВЭ,100,0,100,4.3333,2,-,,-,-
66,4694421,ВЭ,100,0,100,4.3088,4,+,in_another_order,-,-
67,4092374,ВЭ,100,0,100,4.2500,2,-,,-,-
68,4738022,ВЭ,100,0,100,4.2381,1,+,,-,-
69,3662268,ВЭ,100,0,100,4.0312,2,-,,-,-
70,5132251,ВЭ,100,0,100,3.9683,2,+,,-,-
71,3654088,ВЭ,100,0,100,3.6970,2,-,,-,-
72,4137596,ВЭ,100,0,100,3.6667,2,-,,-,-
73,4505363,ВЭ,100,0,100,3.5682,2,-,,-,-
74,4141809,ВЭ,100,0,100,3.5556,2,-,,-,-
75,3870344,ВЭ,100,0,100,3.5147,1,-,,-,-
76,4153779,ВЭ,100,0,100,3.3333,2,+,in_another_order,-,-
4,3697867,Призер ЯП,100,0,100,4.3333,2,+,in_another_order,-,-
77,4809276,ПИГА,70,1,71,4.9464,5,+,in_another_order,-,-
78,5006276,ПИГА,70,0,70,5.0000,3,+,in_another_order,-,-
79,4212294,ПИГА,70,0,70,4.8667,2,-,,-,-
80,3579545,ПИГА,70,0,70,4.8529,2,-,,-,-
81,3752477,ПИГА,70,0,70,4.8281,2,-,,-,-
82,4738021,ПИГА,70,0,70,4.8095,2,+,in_another_order,-,-
83,4065338,ПИГА,70,0,70,4.6912,2,-,,-,-
84,5187942,ПИГА,70,0,70,4.6825,3,-,,-,-
85,5084409,ПИГА,70,0,70,4.6349,4,+,in_another_order,-,-
86,4010952,ПИГА,70,0,70,4.5484,2,+,in_another_order,-,-
87,4137463,ПИГА,70,0,70,4.4516,3,+,in_another_order,-,-
88,4137461,ПИГА,70,0,70,4.4262,4,-,,-,-
89,4989746,ПИГА,70,0,70,4.4032,3,-,,-,-
90,3831862,ПИГА,70,0,70,4.3235,3,+,in_another_order,-,-
91,4705903,ПИГА,70,0,70,4.3235,3,+,,-,-
92,4850088,ПИГА,70,0,70,4.3077,4,+,in_another_order,-,-
