Место,ID,Тип экзамена,Балл экзамена,ИД,Сумма баллов,Средний балл,Приоритет,Согласие,Статус <?>,Главный приоритет,Наивысший приоритет прохода
1,4372552,ЗИШ,100,2,102,4.1957,4,+,in_another_order,-,-
3,4230925,КП,100,1,101,5.0000,1,-,recommended,+,-
4,4411159,ЗИШ,100,1,101,4.2917,2,+,in_another_order,-,-
5,4819256,ЗИШ,100,1,101,3.9062,4,+,in_another_order,-,-
2,4953905,Призер ЯП,100,1,101,4.8382,1,+,in_order,+,+
6,3587674,ЯП,100,0,100,4.6761,1,-,recommended,+,-
7,3636412,ЯП,100,0,100,4.6724,1,-,recommended,+,-
11,4362539,МегаОлимпиада ИТМО,100,0,100,4.9118,1,+,in_order,+,+
12,5002762,МегаОлимпиада ИТМО,100,0,100,4.5294,5,+,in_another_order,-,-
13,3619789,МегаОлимпиада ИТМО,100,0,100,4.5000,1,+,in_order,+,+
14,4929045,МегаОлимпиада ИТМО,100,0,100,4.4118,5,+,in_another_order,-,-
15,4891563,КД,100,0,100,4.8710,5,+,in_another_order,-,-
16,5080633,Мегашкола,100,0,100,4.8750,1,+,in_order,+,+
17,4881660,Мегашкола,100,0,100,4.7679,1,+,in_order,+,+
18,3687088,Мегашкола,100,0,100,4.6984,1,-,recommended,+,-
19,4849739,Мегашкола,100,0,100,4.6923,1,+,in_order,+,+
20,3679543,Мегашкола,100,0,100,4.5238,5,+,in_another_order,-,-
21,4062909,Мегашкола,100,0,100,4.4603,1,+,in_order,+,+
22,5179945,Мегашкола,100,0,100,4.0781,1,+,in_order,+,+
23,4970062,Мегашкола,100,0,100,3.8939,3,-,pass_another,-,-
24,5093743,Мегашкола,100,0,100,3.7000,1,+,in_order,+,+
25,3673037,КП,100,0,100,4.9615,1,+,in_order,+,+
26,4768977,КП,100,0,100,4.9412,3,+,in_another_order,-,-
27,3831338,КП,100,0,100,4.8413,3,+,in_another_order,-,-
28,4980953,КП,100,0,100,4.6250,2,+,in_another_order,-,-
29,4010952,КП,100,0,100,4.5484,1,+,in_order,+,+
30,4999944,КП,100,0,100,4.5079,2,+,in_another_order,-,-
31,3868633,КП,100,0,100,4.5000,2,+,in_another_order,-,-
32,4231087,КП,100,0,100,4.4848,1,+,in_order,+,+
33,4544591,КП,100,0,100,4.4603,3,+,in_another_order,-,-
34,5072755,КП,100,0,100,4.4444,3,+,in_another_order,-,-
35,5083478,КП,100,0,100,4.4098,3,+,in_another_order,-,-
36,4701496,КП,100,0,100,4.2540,3,+,in_another_order,-,-
37,4738022,КП,100,0,100,4.2381,2,+,in_order,+,+
38,3899879,КП,100,0,100,4.1750,3,+,in_another_order,-,-
39,5048104,КП,100,0,100,4.1538,1,+,in_order,+,+
40,5134279,КП,100,0,100,4.0513,1,+,in_order,+,+
41,4254508,ЗИШ,100,0,100,4.9394,1,+,in_order,+,+
42,4332459,ЗИШ,100,0,100,4.9118,1,+,in_order,+,+
43,5048097,ЗИШ,100,0,100,4.8824,2,+,in_another_order,-,-
44,4068766,ЗИШ,100,0,100,4.8730,1,+,in_order,+,+
45,4723058,ЗИШ,100,0,100,4.7941,1,+,in_order,+,+
46,5065465,ЗИШ,100,0,100,4.7632,5,+,in_another_order,-,-
47,4914904,ЗИШ,100,0,100,4.7273,1,+,in_order,+,+
48,4347044,ЗИШ,100,0,100,4.7143,5,+,in_another_order,-,-
49,4999958,ЗИШ,100,0,100,4.7059,1,+,in_order,+,+
50,4589946,ЗИШ,100,0,100,4.6731,3,+,in_another_order,-,-
51,5007299,ЗИШ,100,0,100,4.6562,3,-,pass_another,-,-
52,4950591,ЗИШ,100,0,100,4.6061,3,+,in_another_order,-,-
53,4088995,ЗИШ,100,0,100,4.5397,1,+,in_order,+,+
54,4799968,ЗИШ,100,0,100,4.5000,1,+,in_order,+,+
55,4441261,ЗИШ,100,0,100,4.4627,2,-,recommended,+,-
56,3932463,ЗИШ,100,0,100,4.4444,1,+,in_order,+,+
57,4432942,ЗИШ,100,0,100,4.4127,1,+,in_order,+,+
58,3648061,ЗИШ,100,0,100,4.3971,4,-,pass_another,-,-
59,4799972,ЗИШ,100,0,100,4.3750,1,+,in_order,+,+
60,5066626,ЗИШ,100,0,100,4.3750,2,+,in_another_order,-,-
61,4372553,ЗИШ,100,0,100,4.3571,1,+,in_order,+,+
62,3822794,ЗИШ,100,0,100,4.3226,1,+,in_order,+,+
63,3673031,ЗИШ,100,0,100,4.3043,1,+,in_order,+,+
64,3708583,ЗИШ,100,0,100,4.2982,1,+,in_order,+,+
65,4338592,ЗИШ,100,0,100,4.2778,1,+,in_order,+,+
66,3916761,ЗИШ,100,0,100,4.2576,1,+,in_order,+,+
