Место,ID,Тип экзамена,Балл экзамена,ИД,Сумма баллов,Средний балл,Приоритет,Согласие,Статус <?>,Главный приоритет,Наивысший приоритет прохода
1,3633855,КП,100,2,102,5.0000,1,+,in_order,+,+
2,4772025,КП,100,1,101,5.0000,2,+,in_another_order,-,-
3,4981173,ЗИШ,100,1,101,4.9143,3,+,in_another_order,-,-
4,4595289,ЗИШ,100,1,101,4.8611,2,+,in_another_order,-,-
5,4153780,ЗИШ,100,1,101,3.6500,3,+,in_another_order,-,-
6,4261834,ЯП,100,0,100,5.0000,1,-,recommended,+,-
7,4530035,ЯП,100,0,100,4.9231,2,+,in_another_order,-,-
8,4956485,ЯП,100,0,100,4.7258,1,-,recommended,+,-
9,3717837,ЯП,100,0,100,4.4762,1,-,recommended,+,-
13,4497122,Мегашкола,100,0,100,4.9730,2,+,in_another_order,-,-
14,3892994,Мегашкола,100,0,100,4.9130,3,+,in_another_order,-,-
15,4338705,Мегашкола,100,0,100,4.7838,1,+,in_order,+,+
16,3687088,Мегашкола,100,0,100,4.6984,5,-,pass_another,-,-
17,4748955,Мегашкола,100,0,100,4.6364,1,+,in_order,+,+
18,4891548,Мегашкола,100,0,100,4.5897,2,+,in_another_order,-,-
19,4551952,Мегашкола,100,0,100,4.5294,2,+,in_another_order,-,-
20,4800302,Мегашкола,100,0,100,4.3333,1,+,in_order,+,+
21,3697867,Мегашкола,100,0,100,4.3333,4,+,in_another_order,-,-
22,3682764,Мегашкола,100,0,100,4.2667,1,+,in_order,+,+
23,4105998,Мегашкола,100,0,100,4.0250,2,+,in_another_order,-,-
24,4970062,Мегашкола,100,0,100,3.8939,1,-,recommended,+,-
25,4957253,КП,100,0,100,5.0000,1,+,in_order,+,+
26,3684225,КП,100,0,100,4.9574,1,+,in_order,+,+
27,5016763,КП,100,0,100,4.8462,1,+,in_order,+,+
28,3929129,КП,100,0,100,4.8158,3,+,in_another_order,-,-
29,5081066,КП,100,0,100,4.7949,1,+,in_order,+,+
30,3831860,КП,100,0,100,4.7647,1,+,in_order,+,+
31,4155807,КП,100,0,100,4.6750,1,-,recommended,+,-
32,4046633,КП,100,0,100,4.6316,1,+,in_order,+,+
33,4319458,КП,100,0,100,4.4783,1,+,in_order,+,+
34,3670227,КП,100,0,100,4.2143,1,+,in_order,+,+
35,5087735,ЗИШ,100,0,100,4.9730,1,+,in_order,+,+
36,3676205,ЗИШ,100,0,100,4.9020,3,+,in_another_order,-,-
37,5067282,ЗИШ,100,0,100,4.8919,4,+,in_another_order,-,-
38,4645972,ЗИШ,100,0,100,4.8378,5,+,in_another_order,-,-
39,4589946,ЗИШ,100,0,100,4.6731,4,+,in_another_order,-,-
40,4949675,ЗИШ,100,0,100,4.6286,3,+,in_another_order,-,-
41,4804760,ЗИШ,100,0,100,4.6053,1,+,in_order,+,+
42,4088995,ЗИШ,100,0,100,4.5397,4,+,in_another_order,-,-
43,3713170,ЗИШ,100,0,100,4.5200,3,+,in_another_order,-,-
44,4886282,ЗИШ,100,0,100,4.5185,4,+,in_another_order,-,-
45,4764301,ЗИШ,100,0,100,4.4694,1,+,in_order,+,+
46,5038342,ЗИШ,100,0,100,4.4545,2,+,in_another_order,-,-
47,5066626,ЗИШ,100,0,100,4.3750,3,+,in_another_order,-,-
48,4372553,ЗИШ,100,0,100,4.3571,3,+,in_another_order,-,-
49,4338592,ЗИШ,100,0,100,4.2778,5,+,in_another_order,-,-
50,4944771,ЗИШ,100,0,100,4.2778,4,+,in_another_order,-,-
51,4833237,ЗИШ,100,0,100,4.2432,1,+,in_order,+,+
52,4772628,ЗИШ,100,0,100,4.2250,1,+,in_order,+,+
53,4310890,ЗИШ,100,0,100,4.2063,2,+,in_another_order,-,-
54,4657078,ЗИШ,100,0,100,4.2000,1,+,in_order,+,+
55,3713173,ЗИШ,100,0,100,4.1176,1,+,in_order,+,+
