"lambda, nm",intensivity (0 deg),intensivity (5 deg),intensivity (10 deg),intensivity (15 deg),intensivity (20 deg),intensivity (25 deg),intensivity (30 deg),intensivity (35 deg),intensivity (40 deg),intensivity (45 deg),intensivity (50 deg),intensivity (55 deg),intensivity (60 deg),intensivity (65 deg),intensivity (70 deg),intensivity (75 deg),intensivity (80 deg),intensivity (85 deg)
350.257,50.515,61.856,25.773,38.144,5.155,40.206,29.897,44.33,41.237,1.031,26.804,39.175,50.515,39.175,27.835,25.773,18.557,9.278
350.522,31.884,21.739,2.899,28.986,15.942,24.638,8.696,27.536,5.797,0.0,10.145,5.797,31.884,10.145,28.986,1.449,0.0,0.0
350.787,25.301,24.096,25.301,30.12,50.602,25.301,9.639,40.964,15.663,49.398,28.916,22.892,46.988,19.277,30.12,14.458,8.434,22.892
351.053,28.182,21.818,30.0,20.909,30.909,25.455,11.818,30.909,21.818,28.182,24.545,21.818,26.364,43.636,26.364,10.909,15.455,21.818
351.318,13.0,13.0,26.0,21.0,12.0,9.0,16.0,21.0,18.0,25.0,8.0,7.0,7.0,40.0,22.0,6.0,13.0,7.0
351.584,0.0,0.0,30.0,13.333,0.0,0.0,0.0,0.0,1.667,15.0,0.0,0.0,0.0,3.333,0.0,0.0,0.0,0.0
351.849,0.0,0.0,33.333,33.333,0.0,0.0,5.882,0.0,0.0,13.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352.114,0.0,14.667,30.667,9.333,10.667,6.667,20.0,14.667,17.333,36.0,28.0,8.0,22.667,0.0,16.0,5.333,0.0,0.0
352.380,35.897,44.872,47.436,2.564,24.359,19.231,29.487,30.769,35.897,14.103,23.077,3.846,34.615,6.41,26.923,25.641,21.795,11.538
352.645,50.562,74.157,24.719,11.236,2.247,20.225,6.742,42.697,19.101,16.854,28.09,20.225,13.483,23.596,34.831,11.236,34.831,8.989
352.910,27.885,37.5,25.962,31.731,2.885,21.154,15.385,50.962,15.385,28.846,29.808,43.269,18.269,25.962,13.462,25.0,35.577,9.615
353.176,24.719,14.607,35.955,35.955,0.0,15.73,16.854,47.191,10.112,30.337,29.213,46.067,13.483,15.73,10.112,14.607,25.843,3.371
353.441,30.882,0.0,38.235,11.765,0.0,0.0,20.588,25.0,7.353,8.824,33.824,4.412,0.0,25.0,23.529,0.0,10.294,0.0
353.706,71.795,24.359,46.154,14.103,11.538,19.231,23.077,37.179,28.205,1.282,23.077,19.231,23.077,46.154,26.923,15.385,0.0,0.0
353.972,37.624,41.584,36.634,28.713,32.673,23.762,27.723,37.624,47.525,29.703,32.673,30.693,51.485,28.713,19.802,25.743,12.871,3.96
